County_Name,FIPS,State,Latitude,Longitude
Charlevoix County,26029,MI,45.30139923,-85.12590027
Cherokee County,01019,AL,34.17589951,-85.60379791
Cass County,31025,NE,40.90969849,-96.14089966
Hart County,13147,GA,34.35089874,-82.96420288
Mille Lacs County,27095,MN,45.93799973,-93.63009644
Stephens County,13257,GA,34.55410004,-83.29319763
McNairy County,47109,TN,35.17549896,-88.56359863
Lawrence County,46081,SD,44.35860062,-103.7922974
Fannin County,13111,GA,34.86410141,-84.31980133
Sunflower County,28133,MS,33.60229874,-90.58860016
Somerset County,24039,MD,38.11579895,-75.75180054
Lyon County,27083,MN,44.41350174,-95.83899689
Lauderdale County,47097,TN,35.76050186,-89.63050079
Hardin County,47071,TN,35.19869995,-88.18450165
Franklin County,20059,KS,38.5644989,-95.28600311
Taylor County,21217,KY,37.36640167,-85.32779694
Allen Parish,22003,LA,30.65299988,-92.82800293
Benton County,19011,IA,42.0802002,-92.06569672
Texas County,29215,MO,37.31729889,-91.96499634
Posey County,18129,IN,38.02180099,-87.86840057
St. Francis County,05123,AR,35.02199936,-90.74780273
Adair County,29001,MO,40.19060135,-92.60070038
Cheboygan County,26031,MI,45.44630051,-84.49990082
Tattnall County,13267,GA,32.04579926,-82.05819702
Lamoille County,50015,VT,44.60699844,-72.64179993
Dickinson County,26043,MI,46.00920105,-87.87030029
Miller County,29131,MO,38.21450043,-92.42839813
Audrain County,29007,MO,39.21569824,-91.84159851
Routt County,08107,CO,40.48509979,-106.9912033
Gladwin County,26051,MI,43.99069977,-84.38829803
Salem City,51775,VA,37.28639984,-80.05549622
Dawson County,13085,GA,34.44430161,-84.17060089
Shelby County,48419,TX,31.79240036,-94.14499664
Hardeman County,47069,TN,35.20679855,-88.99310303
Fayette County,48149,TX,29.87680054,-96.9197998
Iosco County,26069,MI,44.35589981,-83.6359024
Morehouse Parish,22067,LA,32.82020187,-91.80180359
Prentiss County,28117,MS,34.61830139,-88.52010345
Plymouth County,19149,IA,42.7378006,-96.2141037
Grant County,21081,KY,38.6487999,-84.62460327
Washington County,12133,FL,30.61059952,-85.66529846
Brown County,27015,MN,44.24209976,-94.7276001
Cleburne County,05023,AR,35.53820038,-92.02670288
Bremer County,19017,IA,42.77460098,-92.31800079
Barbour County,01005,AL,31.8696003,-85.39320374
Hickman County,47081,TN,35.80329895,-87.47329712
Teller County,08119,CO,38.88240051,-105.1617966
Yates County,36123,NY,42.63349915,-77.10549927
Nicholas County,54067,WV,38.29169846,-80.79940033
Chattooga County,13055,GA,34.47499847,-85.34529877
Washington County,29221,MO,37.96170044,-90.87740326
Jackson County,40065,OK,34.58800125,-99.41480255
Milam County,48331,TX,30.78630066,-96.97679901
Marion County,28091,MS,31.23080063,-89.82240295
Randolph County,29175,MO,39.44020081,-92.49710083
Randolph County,18135,IN,40.1576004,-85.01139832
Grady County,13131,GA,30.87470055,-84.23439789
Staunton City,51790,VA,38.15930176,-79.06109619
Juniata County,42067,PA,40.53110123,-77.40219879
Seminole County,40133,OK,35.16749954,-96.6155014
Otsego County,26137,MI,45.02140045,-84.59899902
Churchill County,32001,NV,39.5807991,-118.3358002
Todd County,27153,MN,46.0705986,-94.89759827
Abbeville County,45001,SC,34.22259903,-82.45929718
Manistee County,26101,MI,44.33300018,-86.05680084
Rowan County,21205,KY,38.19630051,-83.4210968
Lincoln County,21137,KY,37.45539856,-84.66079712
Butts County,13035,GA,33.28789902,-83.9571991
Upshur County,54097,WV,38.89780045,-80.23339844
Anson County,37007,NC,34.97380066,-80.10269928
Waushara County,55137,WI,44.11309814,-89.24289703
Aransas County,48007,TX,28.12490082,-96.99340057
Macon County,47111,TN,36.5320015,-86.00730133
Pottawatomie County,20149,KS,39.37900162,-96.3423996
White County,18181,IN,40.74980164,-86.8655014
George County,28039,MS,30.86260033,-88.64399719
Ohio County,21183,KY,37.47819901,-86.84889984
Jerome County,16053,ID,42.68989944,-114.2639999
Jefferson County,41031,OR,44.62939835,-121.1761017
Luna County,35029,NM,32.18220139,-107.7498016
Union County,13291,GA,34.83409882,-83.99069977
Crawford County,29055,MO,37.97639847,-91.30390167
Sabine Parish,22085,LA,31.56399918,-93.55470276
Clarke County,01025,AL,31.67670059,-87.83080292
Roscommon County,26143,MI,44.33560181,-84.61160278
Page County,51139,VA,38.61940002,-78.48439789
Cassia County,16031,ID,42.28390121,-113.6000977
Mingo County,54059,WV,37.72650146,-82.13469696
Scott County,18143,IN,38.68510056,-85.74749756
Hertford County,37091,NC,36.35910034,-76.98200226
Poinsett County,05111,AR,35.57400131,-90.66300201
Saline County,17165,IL,37.75310135,-88.54070282
Crook County,41013,OR,44.14220047,-120.3565979
Lee County,51105,VA,36.70539856,-83.12860107
Winston County,01133,AL,34.14920044,-87.373703
Payette County,16075,ID,44.00669861,-116.7608032
Dawson County,31047,NE,40.86989975,-99.81960297
Iowa County,55049,WI,43.00049973,-90.13539886
Columbia County,05027,AR,33.21429825,-93.22730255
Ouachita County,05103,AR,33.59339905,-92.88189697
Goochland County,51075,VA,37.72200012,-77.91560364
Itawamba County,28057,MS,34.27999878,-88.36129761
Limestone County,48293,TX,31.5454998,-96.58049774
Teton County,56039,WY,43.93470001,-110.589798
Osceola County,26133,MI,43.9897995,-85.32520294
Fairfax City,51600,VA,38.85309982,-77.29969788
Plaquemines Parish,22075,LA,29.44059944,-89.61000061
Hampshire County,54027,WV,39.31710052,-78.6140976
Antrim County,26009,MI,44.99909973,-85.14029694
Hood River County,41027,OR,45.51900101,-121.6511002
Grainger County,47057,TN,36.27629852,-83.50959778
Panola County,48365,TX,32.16239929,-94.30560303
Meeker County,27093,MN,45.12310028,-94.52729797
Fayette County,18041,IN,39.64009857,-85.17870331
Franklin County,13119,GA,34.37540054,-83.22910309
Starke County,18149,IN,41.28089905,-86.64759827
Hockley County,48219,TX,33.60770035,-102.3432007
Meigs County,39105,OH,39.0821991,-82.02290344
Houston County,48225,TX,31.31769943,-95.42269897
Saline County,29195,MO,39.13679886,-93.20179749
Sumner County,20191,KS,37.23730087,-97.47650146
Menominee County,26109,MI,45.58010101,-87.55660248
Ray County,29177,MO,39.35229874,-93.98989868
Prince Edward County,51147,VA,37.22430038,-78.44110107
Curry County,41015,OR,42.45759964,-124.1567993
McDonald County,29119,MO,36.62870026,-94.34829712
Leake County,28079,MS,32.75350189,-89.52400208
Bandera County,48019,TX,29.74720001,-99.24629974
Franklin County,18047,IN,39.41490173,-85.06020355
Yankton County,46135,SD,43.00899887,-97.39479828
Randolph County,01111,AL,33.29380035,-85.45909882
Blaine County,16013,ID,43.41199875,-113.9802017
Rockbridge County,51163,VA,37.8144989,-79.44730377
Coahoma County,28027,MS,34.22999954,-90.60169983
Martin County,37117,NC,35.84320068,-77.10929871
Asotin County,53003,WA,46.19179916,-117.2030029
Caswell County,37033,NC,36.39319992,-79.33350372
Anderson County,21005,KY,38.00389862,-84.99099731
Burke County,13033,GA,33.06110001,-82.0007019
Emanuel County,13107,GA,32.58969879,-82.30169678
Crisp County,13081,GA,31.92289925,-83.76809692
Hopewell City,51670,VA,37.29150009,-77.29850006
Johnson County,21115,KY,37.84659958,-82.83149719
Fairfield County,45039,SC,34.39509964,-81.12120056
Bibb County,01007,AL,32.99860001,-87.12650299
Mahaska County,19123,IA,41.33520126,-92.64089966
Clark County,05019,AR,34.05089951,-93.17639923
Grant Parish,22043,LA,31.59970093,-92.55940247
New Kent County,51127,VA,37.50519943,-76.99729919
Waynesboro City,51820,VA,38.06740189,-78.90139771
Logan County,08075,CO,40.72470093,-103.1100998
Union Parish,22111,LA,32.83179855,-92.37480164
Assumption Parish,22007,LA,29.90239906,-91.06079865
Nodaway County,29147,MO,40.3608017,-94.88339996
Adair County,40001,OK,35.88389969,-94.65869904
Overton County,47133,TN,36.34500122,-85.2881012
Brooke County,54009,WV,40.27389908,-80.57649994
Pacific County,53049,WA,46.55569839,-123.7041016
Washington County,19183,IA,41.33560181,-91.71790314
Mitchell County,13205,GA,31.22529984,-84.19429779
Gray County,48179,TX,35.40119934,-100.8125992
Klickitat County,53039,WA,45.87379837,-120.7891006
Scott County,47151,TN,36.42850113,-84.50350189
Tippah County,28139,MS,34.76839828,-88.9088974
Letcher County,21133,KY,37.12120056,-82.8553009
Vilas County,55125,WI,46.05289841,-89.51480103
Wyandot County,39175,OH,40.8423996,-83.30439758
Putnam County,13237,GA,33.32180023,-83.37280273
Seward County,20175,KS,37.19329834,-100.8513031
Boone County,54005,WV,38.02299881,-81.7111969
Pointe Coupee Parish,22077,LA,30.70949936,-91.60079956
Beckham County,40009,OK,35.26869965,-99.68199921
Henry County,29083,MO,38.3852005,-93.79270172
Jersey County,17083,IL,39.08549881,-90.35649872
Scott County,51169,VA,36.71429825,-82.60289764
Taylor County,12123,FL,30.04700089,-83.60350037
Hempstead County,05057,AR,33.73540115,-93.66840363
Mercer County,21167,KY,37.81100082,-84.87439728
Nobles County,27105,MN,43.67419815,-95.75340271
Leelanau County,26089,MI,44.93849945,-85.81199646
Shelby County,17173,IL,39.39120102,-88.80549622
Logan County,05083,AR,35.21490097,-93.71659851
Madison County,37115,NC,35.85800171,-82.70580292
Wabasha County,27157,MN,44.28430176,-92.2303009
Gage County,31067,NE,40.26190186,-96.68939972
Morgan County,47129,TN,36.13499832,-84.64920044
Tyler County,48457,TX,30.77120018,-94.37660217
Colusa County,06011,CA,39.17750168,-122.2369995
Sevier County,49041,UT,38.74779892,-111.8044968
Calhoun County,48057,TX,28.50670052,-96.60199738
Llano County,48299,TX,30.70569992,-98.68409729
Jo Daviess County,17085,IL,42.36579895,-90.21260071
Yell County,05149,AR,35.00249863,-93.41110229
Willacy County,48489,TX,26.46929932,-97.66220093
Fayette County,17051,IL,39.00019836,-89.02410126
McDuffie County,13189,GA,33.48279953,-82.48139954
Buchanan County,51027,VA,37.26660156,-82.03600311
Colorado County,48089,TX,29.62080002,-96.52629852
Saunders County,31155,NE,41.22639847,-96.63739777
Hubbard County,27057,MN,47.10860062,-94.91670227
Newton County,28101,MS,32.40019989,-89.1187973
Barnwell County,45011,SC,33.26610184,-81.43499756
Moore County,48341,TX,35.83769989,-101.8928986
Lampasas County,48281,TX,31.19619942,-98.24140167
St. James Parish,22093,LA,30.02700043,-90.79309845
Buchanan County,19019,IA,42.47079849,-91.83789825
Hutchinson County,48233,TX,35.84000015,-101.3546982
Perry County,17145,IL,38.08369827,-89.36699677
Meriwether County,13199,GA,33.04059982,-84.68830109
Gaines County,48165,TX,32.74069977,-102.6352005
Allen County,21003,KY,36.75120163,-86.19039917
La Paz County,04012,AZ,33.72940063,-113.9814987
Fillmore County,27045,MN,43.67399979,-92.09020233
Monroe County,01099,AL,31.57080078,-87.36540222
Greene County,37079,NC,35.48500061,-77.67579651
Grenada County,28043,MS,33.77000046,-89.80210114
Conway County,05029,AR,35.26240158,-92.70149994
Ogemaw County,26129,MI,44.3348999,-84.12640381
Wyoming County,54109,WV,37.60960007,-81.54920197
Stutsman County,38093,ND,46.97930145,-98.95880127
Owen County,18119,IN,39.31280136,-86.83769989
Gonzales County,48177,TX,29.45669937,-97.49250031
Minidoka County,16067,ID,42.85430145,-113.6374969
Dodge County,27039,MN,44.02259827,-92.86199951
Dodge County,13091,GA,32.17219925,-83.16840363
Jay County,18075,IN,40.43790054,-85.00569916
Polk County,37149,NC,35.27930069,-82.16970062
Sullivan County,18153,IN,39.08879852,-87.41470337
Texas County,40139,OK,36.7478981,-101.490097
Lincoln County,54043,WV,38.17539978,-82.07039642
Jones County,19105,IA,42.12120056,-91.13150024
Vernon County,29217,MO,37.8506012,-94.3423996
Jackson County,55053,WI,44.31919861,-90.80519867
Washington County,31177,NE,41.53110123,-96.22200012
Clinton County,29049,MO,39.60179901,-94.40460205
Wayne County,21231,KY,36.80130005,-84.82859802
Morgan County,29141,MO,38.42369843,-92.88600159
Carbon County,49007,UT,39.64810181,-110.5887985
Kewaunee County,55061,WI,44.51610184,-87.61530304
Uinta County,56041,WY,41.28760147,-110.5475998
Spencer County,18147,IN,38.01399994,-87.00769806
Woodward County,40153,OK,36.42269897,-99.26509857
Worth County,13321,GA,31.55150032,-83.85089874
Wayne County,28153,MS,31.64080048,-88.69580078
Taylor County,55119,WI,45.21160126,-90.50119781
Washington County,13303,GA,32.9695015,-82.79589844
Saluda County,45081,SC,34.0060997,-81.72679901
Breckinridge County,21027,KY,37.77320099,-86.4292984
Richland Parish,22083,LA,32.4178009,-91.7634964
DeWitt County,48123,TX,29.08209991,-97.35679626
Adams County,55001,WI,43.9695015,-89.770401
Carroll County,19027,IA,42.03620148,-94.86049652
Carroll County,18015,IN,40.58280182,-86.56349945
Dakota County,31043,NE,42.39110184,-96.56459808
Clay County,21051,KY,37.15969849,-83.71469879
Franklin Parish,22041,LA,32.13330078,-91.67379761
DeKalb County,47041,TN,35.97990036,-85.83280182
Winneshiek County,19191,IA,43.29069901,-91.84369659
Lavaca County,48285,TX,29.38430023,-96.93019867
Fulton County,18049,IN,41.04700089,-86.26360321
Pickens County,01107,AL,33.28089905,-88.08869934
Cherokee County,20021,KS,37.16930008,-94.84629822
Frio County,48163,TX,28.86779976,-99.10820007
Ashley County,05003,AR,33.19120026,-91.76850128
Polk County,05113,AR,34.4858017,-94.22820282
Bourbon County,21017,KY,38.20669937,-84.21710205
Chaffee County,08015,CO,38.74700165,-106.1940994
Duchesne County,49013,UT,40.2981987,-110.4252014
Buena Vista County,19021,IA,42.73550034,-95.15110016
Labette County,20099,KS,37.19129944,-95.29759979
Smith County,47159,TN,36.25049973,-85.95670319
Davison County,46035,SD,43.67470169,-98.14600372
Henry County,19087,IA,40.98799896,-91.54450226
Jones County,48253,TX,32.73989868,-99.87870026
Lincoln County,30053,MT,48.54249954,-115.405098
Warren County,37185,NC,36.39649963,-78.10669708
Freestone County,48161,TX,31.70490074,-96.14910126
Martin County,27091,MN,43.67440033,-94.55110168
Greene County,51079,VA,38.29759979,-78.46690369
Butler County,01013,AL,31.75239944,-86.68029785
Adams County,53001,WA,46.98329926,-118.5606003
Union County,47173,TN,36.28789902,-83.83750153
McIntosh County,40091,OK,35.37360001,-95.66680145
Northampton County,37131,NC,36.4178009,-77.39689636
Montague County,48337,TX,33.67570114,-97.72460175
Lincoln County,35027,NM,33.74530029,-105.4592972
Lincoln County,56023,WY,42.26390076,-110.6559982
Fayette County,19065,IA,42.86259842,-91.84429932
Orange County,18117,IN,38.54180145,-86.49510193
Douglas County,17041,IL,39.76950073,-88.21730042
Concordia Parish,22029,LA,31.44589996,-91.64009857
Holmes County,12059,FL,30.86790085,-85.81410217
Clay County,28025,MS,33.65570068,-88.78160095
Kent County,24029,MD,39.25450134,-76.03990173
Tishomingo County,28141,MS,34.74039841,-88.23930359
Adair County,21001,KY,37.10409927,-85.28070068
Jackson County,19097,IA,42.17169952,-90.57420349
Pierce County,13229,GA,31.35880089,-82.21279907
Benton County,29015,MO,38.2947998,-93.28790283
Marion County,21155,KY,37.55250168,-85.26959991
Long County,13183,GA,31.75259972,-81.74569702
East Feliciana Parish,22037,LA,30.8451004,-91.04550171
Perry County,29157,MO,37.7071991,-89.82440186
Hampton County,45049,SC,32.77629852,-81.14070129
Berrien County,13019,GA,31.27599907,-83.229599
Langlade County,55067,WI,45.26229858,-89.07189941
Elbert County,13105,GA,34.1167984,-82.84010315
Marengo County,01091,AL,32.24760056,-87.78959656
Perry County,18123,IN,38.07960129,-86.63800049
Bertie County,37015,NC,36.06620026,-76.97869873
Los Alamos County,35028,NM,35.86930084,-106.3072968
Jefferson County,20087,KS,39.2358017,-95.38339996
Spencer County,21215,KY,38.03250122,-85.32790375
Brantley County,13025,GA,31.19689941,-81.98190308
Banks County,13011,GA,34.35430145,-83.49720001
Plumas County,06063,CA,40.00469971,-120.8386002
Lamar County,13171,GA,33.07649994,-84.13939667
Hart County,21099,KY,37.29990005,-85.88469696
Crawford County,17033,IL,39.00270081,-87.7594986
Morgan County,13211,GA,33.59080124,-83.49240112
Covington County,28031,MS,31.63319969,-89.55259705
Green Lake County,55047,WI,43.80039978,-89.0447998
Harrison County,21097,KY,38.44179916,-84.33139801
Paulding County,39125,OH,41.11660004,-84.5802002
Roosevelt County,35041,NM,34.02119827,-103.4801025
Houston County,27055,MN,43.67139816,-91.49289703
Waseca County,27161,MN,44.02209854,-93.58730316
Deaf Smith County,48117,TX,34.9659996,-102.6048965
Dickinson County,20041,KS,38.86650085,-97.15270233
Pike County,13231,GA,33.09230042,-84.3891983
Madison County,12079,FL,30.44409943,-83.4701004
Humphreys County,47085,TN,36.04090118,-87.77570343
Cedar County,19031,IA,41.77230072,-91.13240051
Macon County,01087,AL,32.38589859,-85.69270325
Appling County,13001,GA,31.7493,-82.28900146
Bosque County,48035,TX,31.90040016,-97.63430023
Fentress County,47049,TN,36.38050079,-84.93250275
Poweshiek County,19157,IA,41.68640137,-92.53150177
Park County,08093,CO,39.11940002,-105.7172012
Beadle County,46005,SD,44.41450119,-98.27809906
Simpson County,21213,KY,36.7419014,-86.58229828
Attala County,28007,MS,33.0862999,-89.58149719
Eastland County,48133,TX,32.32709885,-98.83229828
Otero County,08089,CO,37.90259933,-103.7164001
Stone County,28131,MS,30.79000092,-89.11769867
Drew County,05043,AR,33.58940125,-91.72000122
Bethel Census Area,02050,AK,60.9131012,-159.8186035
Wright County,29229,MO,37.27019882,-92.46869659
Gilchrist County,12041,FL,29.72579956,-82.80039978
Burleson County,48051,TX,30.49250031,-96.62149811
Grant County,05053,AR,34.29000092,-92.42359924
Andrews County,48003,TX,32.30500031,-102.6378021
Montour County,42093,PA,41.0279007,-76.65859985
Pike County,29163,MO,39.34379959,-91.17140198
Jefferson County,19101,IA,41.03179932,-91.94889832
Phillips County,05107,AR,34.42750168,-90.84889984
Winston County,28159,MS,33.08850098,-89.03440094
McDowell County,54047,WV,37.37850189,-81.6536026
Pitkin County,08097,CO,39.21709824,-106.9166031
Young County,48503,TX,33.17670059,-98.68779755
Randolph County,05121,AR,36.34149933,-91.02760315
Inyo County,06027,CA,36.51110077,-117.4106979
Ste. Genevieve County,29186,MO,37.89440155,-90.19439697
Westmoreland County,51193,VA,38.11199951,-76.80419922
Yancey County,37199,NC,35.89889908,-82.30760193
Russell County,21207,KY,36.99100113,-85.05870056
Schuyler County,36097,NY,42.39379883,-76.87519836
Radford City,51750,VA,37.1228981,-80.55870056
Southampton County,51175,VA,36.72040176,-77.10610199
Unicoi County,47171,TN,36.1106987,-82.43229675
Hancock County,17067,IL,40.40380096,-91.16470337
Greene County,13133,GA,33.5788002,-83.16670227
Morgan County,54065,WV,39.5603981,-78.25779724
Franklin County,05047,AR,35.51229858,-93.89060211
Gem County,16045,ID,44.06159973,-116.3974991
Arkansas County,05001,AR,34.28919983,-91.37419891
Johnson County,47091,TN,36.45489883,-81.85179901
Kalkaska County,26079,MI,44.68470001,-85.09020233
Benzie County,26019,MI,44.63869858,-86.01550293
Patrick County,51141,VA,36.67829895,-80.28440094
Hughes County,46065,SD,44.38899994,-99.9960022
Garrard County,21079,KY,37.63959885,-84.53769684
Andrew County,29003,MO,39.98350143,-94.80210114
Manassas Park City,51685,VA,38.77090073,-77.44290161
Clayton County,19043,IA,42.84479904,-91.34140015
Cooper County,29053,MO,38.84360123,-92.81009674
Avery County,37011,NC,36.07659912,-81.92259979
Dukes County,25007,MA,41.39609909,-70.65010071
Holmes County,28051,MS,33.12350082,-90.09200287
Richland County,55103,WI,43.37559891,-90.42949677
Haywood County,47075,TN,35.58319855,-89.28379822
McCreary County,21147,KY,36.73709869,-84.48419952
Leon County,48289,TX,31.29649925,-95.99569702
Mariposa County,06043,CA,37.58150101,-119.9055023
Colonial Heights City,51570,VA,37.26499939,-77.39689636
Falls County,48145,TX,31.25329971,-96.93589783
New Madrid County,29143,MO,36.59460068,-89.65170288
Edgar County,17045,IL,39.67850113,-87.74559784
Dickinson County,19059,IA,43.37799835,-95.15080261
Chester County,47023,TN,35.42169952,-88.6135025
Cook County,13075,GA,31.15399933,-83.43049622
Seward County,31159,NE,40.87239838,-97.13950348
Sharp County,05135,AR,36.16120148,-91.47979736
Lee County,48287,TX,30.31069946,-96.96569824
Lee County,45061,SC,34.16329956,-80.25450134
Henry County,01067,AL,31.51469994,-85.24140167
Mason County,21161,KY,38.59519958,-83.82420349
Gunnison County,08051,CO,38.66680145,-107.0317001
Delaware County,19055,IA,42.47119904,-91.36730194
Robertson County,48395,TX,31.02700043,-96.51290131
Buckingham County,51029,VA,37.57220078,-78.52870178
Chickasaw County,28017,MS,33.92079926,-88.94789886
Bristol City,51520,VA,36.61809921,-82.16040039
Crawford County,19047,IA,42.03720093,-95.38200378
King William County,51101,VA,37.70660019,-77.08850098
